release_date,movie,production_budget,domestic_gross,worldwide_gross
2019/04/23,Avengers: Endgame,"$400,000,000","$858,373,000","$2,797,800,564"
2011/05/20,Pirates of the Caribbean: On Stranger Tides,"$379,000,000","$241,071,802","$1,045,713,802"
2015/04/22,Avengers: Age of Ultron,"$365,000,000","$459,005,868","$1,395,316,979"
2015/12/16,Star Wars Ep. VII: The Force Awakens,"$306,000,000","$936,662,225","$2,064,615,817"
2018/04/25,Avengers: Infinity War,"$300,000,000","$678,815,482","$2,048,359,754"
2007/05/24,Pirates of the Caribbean: At Worldâs End,"$300,000,000","$309,420,425","$960,996,492"
2017/11/13,Justice League,"$300,000,000","$229,024,295","$655,945,209"
2015/10/06,Spectre,"$300,000,000","$200,074,175","$879,500,760"
2023/07/14,Mission: Impossible 7,"$290,000,000",$0,$0
2019/12/18,Star Wars: The Rise of Skywalker,"$275,000,000","$515,202,542","$1,072,848,487"
2018/05/23,Solo: A Star Wars Story,"$275,000,000","$213,767,512","$393,151,347"
2012/03/07,John Carter,"$263,700,000","$73,058,679","$282,778,100"
2016/03/23,Batman v Superman: Dawn of Justice,"$263,000,000","$330,360,194","$872,395,091"
2017/12/13,Star Wars Ep. VIII: The Last Jedi,"$262,000,000","$620,181,382","$1,331,635,141"
2019/07/11,The Lion King,"$260,000,000","$543,638,043","$1,654,367,425"
2010/11/24,Tangled,"$260,000,000","$200,821,936","$584,899,819"
2007/05/04,Spider-Man 3,"$258,000,000","$336,530,303","$894,860,230"
2016/04/22,Captain America: Civil War,"$250,000,000","$408,084,349","$1,151,918,521"
2009/07/15,Harry Potter and the Half-Blood Prince,"$250,000,000","$302,089,278","$929,411,069"
2013/12/12,The Hobbit: The Desolation of Smaug,"$250,000,000","$258,241,522","$959,358,436"
2014/12/10,The Hobbit: The Battle of the Five Armies,"$250,000,000","$255,119,788","$940,389,558"
2017/04/07,The Fate of the Furious,"$250,000,000","$225,764,765","$1,236,703,796"
2021/09/29,No Time to Die,"$250,000,000","$160,891,007","$762,016,233"
2009/12/17,Avatar,"$237,000,000","$760,507,625","$2,845,899,541"
2006/06/28,Superman Returns,"$232,000,000","$200,120,000","$391,081,192"
2012/07/19,The Dark Knight Rises,"$230,000,000","$448,139,099","$1,082,228,107"
2017/05/23,Pirates of the Caribbean: Dead Men Tell No Tales,"$230,000,000","$172,558,876","$794,861,794"
2008/11/14,Quantum of Solace,"$230,000,000","$169,368,427","$591,692,078"
2012/04/25,The Avengers,"$225,000,000","$623,357,910","$1,515,100,211"
2006/07/06,Pirates of the Caribbean: Dead Manâs Chest,"$225,000,000","$423,315,812","$1,066,179,725"
2013/06/14,Man of Steel,"$225,000,000","$291,045,518","$667,999,518"
2008/05/16,The Chronicles of Narnia: Prince Caspian,"$225,000,000","$141,621,490","$417,341,288"
2013/07/02,The Lone Ranger,"$225,000,000","$89,302,115","$260,002,115"
2012/06/27,The Amazing Spider-Man,"$220,000,000","$262,030,663","$757,890,267"
2012/04/11,Battleship,"$220,000,000","$65,233,400","$313,477,717"
2017/06/20,Transformers: The Last Knight,"$217,000,000","$130,168,683","$602,893,340"
2015/06/09,Jurassic World,"$215,000,000","$652,306,625","$1,669,979,967"
2012/05/23,Men in Black 3,"$215,000,000","$179,020,854","$654,213,485"
2009/06/24,Transformers: Revenge of the Fallen,"$210,000,000","$402,111,870","$836,519,699"
2014/06/25,Transformers: Age of Extinction,"$210,000,000","$245,439,076","$1,104,054,072"
2006/05/26,X-Men: The Last Stand,"$210,000,000","$234,362,462","$459,260,946"
2010/05/14,Robin Hood,"$210,000,000","$105,487,148","$322,459,006"
2005/12/14,King Kong,"$207,000,000","$218,080,025","$550,517,357"
2007/12/07,The Golden Compass,"$205,000,000","$70,107,728","$367,262,558"
2020/08/26,Tenet,"$205,000,000","$58,504,105","$362,450,957"
2021/12/14,Spider-Man: No Way Home,"$200,000,000","$804,405,733","$1,889,760,788"
2018/02/13,Black Panther,"$200,000,000","$700,059,566","$1,336,494,321"
1997/12/18,Titanic,"$200,000,000","$659,363,944","$2,207,986,545"
2018/06/15,Incredibles 2,"$200,000,000","$608,581,744","$1,242,805,359"
2016/12/14,Rogue One: A Star Wars Story,"$200,000,000","$532,177,324","$1,055,135,598"
2016/06/16,Finding Dory,"$200,000,000","$486,295,561","$1,025,006,125"
2019/06/20,Toy Story 4,"$200,000,000","$434,038,008","$1,073,080,329"
2010/06/18,Toy Story 3,"$200,000,000","$415,004,880","$1,068,879,522"
2013/04/24,Iron Man 3,"$200,000,000","$408,992,272","$1,215,392,272"
2017/04/28,Guardians of the Galaxy Vol 2,"$200,000,000","$389,813,101","$869,113,101"
2004/06/30,Spider-Man 2,"$200,000,000","$373,524,485","$794,697,557"
2022/03/01,The Batman,"$200,000,000","$367,888,606","$758,209,449"
2010/03/04,Alice in Wonderland,"$200,000,000","$334,191,110","$1,025,491,110"
2012/10/26,Skyfall,"$200,000,000","$304,360,277","$1,110,526,981"
2012/12/11,The Hobbit: An Unexpected Journey,"$200,000,000","$303,003,568","$1,014,938,545"
2013/06/21,Monsters University,"$200,000,000","$268,488,329","$743,455,810"
2013/03/08,Oz the Great and Powerful,"$200,000,000","$234,770,996","$490,359,051"
2014/05/21,X-Men: Days of Future Past,"$200,000,000","$233,921,534","$747,862,775"
2014/04/16,The Amazing Spider-Man 2,"$200,000,000","$202,853,933","$708,996,336"
2011/06/23,Cars 2,"$200,000,000","$191,450,875","$560,155,383"
2021/07/07,Black Widow,"$200,000,000","$183,651,655","$379,751,655"
2019/07/31,Fast & Furious Presents: Hobbs & Shaw,"$200,000,000","$173,956,935","$760,381,706"
2021/05/20,F9: The Fast Saga,"$200,000,000","$173,005,945","$721,077,945"
2010/12/17,Tron: Legacy,"$200,000,000","$172,062,763","$399,866,199"
2009/11/12,2012,"$200,000,000","$166,112,167","$757,677,748"
2021/11/03,Eternals,"$200,000,000","$164,870,264","$402,064,929"
2018/11/14,Fantastic Beasts: The Crimes of Grindelwald,"$200,000,000","$159,555,901","$651,280,475"
2009/05/21,Terminator Salvation,"$200,000,000","$125,322,469","$365,491,792"
2021/07/28,Jungle Cruise,"$200,000,000","$116,987,516","$210,384,144"
2011/06/17,Green Lantern,"$200,000,000","$116,601,172","$219,535,492"
2010/05/28,Prince of Persia: Sands of Time,"$200,000,000","$90,759,676","$336,359,676"
2022/04/06,Fantastic Beasts: The Secrets of Dumbledore,"$200,000,000","$69,422,620","$282,370,277"
2019/06/05,Dark Phoenix,"$200,000,000","$65,845,974","$246,356,895"
2020/02/28,Onward,"$200,000,000","$61,555,145","$133,317,030"
2020/12/16,Wonder Woman 1984,"$200,000,000","$46,801,036","$166,360,232"
2020/09/04,Mulan,"$200,000,000",$0,"$69,965,374"
2021/07/02,The Tomorrow War,"$200,000,000",$0,"$19,220,000"
Unknown,The Gray Man,"$200,000,000",$0,$0
2011/06/29,Transformers: Dark of the Moon,"$195,000,000","$352,390,543","$1,123,794,079"
2017/06/02,The Mummy,"$195,000,000","$80,101,125","$409,953,905"
2013/02/27,Jack the Giant Slayer,"$195,000,000","$65,187,603","$197,687,603"
2015/04/01,Furious 7,"$190,000,000","$353,007,020","$1,516,881,526"
2013/05/16,Star Trek Into Darkness,"$190,000,000","$228,778,661","$467,381,584"
2013/06/19,World War Z,"$190,000,000","$202,706,711","$531,861,650"
2013/05/10,The Great Gatsby,"$190,000,000","$144,840,419","$353,640,419"
2009/11/06,Disneyâs A Christmas Carol,"$190,000,000","$137,855,863","$315,709,697"
2013/07/11,Pacific Rim,"$190,000,000","$101,802,906","$411,002,906"
2021/12/16,The Matrix Resurrections,"$190,000,000","$37,686,805","$156,467,817"
2015/11/25,The Good Dinosaur,"$187,500,000","$123,087,120","$333,771,037"
2008/05/02,Iron Man,"$186,000,000","$318,604,126","$585,171,547"
2008/07/11,The Dark Knight,"$185,000,000","$533,720,947","$998,615,789"
2008/05/22,Indiana Jones and the Kingdom of the Crystal Skull,"$185,000,000","$317,101,119","$786,635,413"
2012/06/21,Brave,"$185,000,000","$237,282,182","$554,606,532"
2017/02/23,Kong: Skull Island,"$185,000,000","$168,052,812","$561,072,059"
2016/07/21,Star Trek Beyond,"$185,000,000","$158,848,340","$335,673,708"
2019/10/17,Maleficent: Mistress of Evil,"$185,000,000","$113,929,605","$489,346,495"
2017/09/29,Blade Runner 2049,"$185,000,000","$92,054,159","$258,829,058"
2019/10/25,Terminator: Dark Fate,"$185,000,000","$62,253,077","$250,372,367"
2021/07/28,The Suicide Squad,"$185,000,000","$55,817,425","$167,120,232"
2019/05/22,Aladdin,"$182,000,000","$355,559,216","$1,046,649,706"
2017/10/25,Thor: Ragnarok,"$180,000,000","$315,058,289","$850,482,778"
2005/12/09,"The Chronicles of Narnia: The Lion, the Witch a…","$180,000,000","$291,710,957","$720,539,572"
2014/05/28,Maleficent,"$180,000,000","$241,407,328","$758,536,735"
2016/11/14,Fantastic Beasts and Where to Find Them,"$180,000,000","$234,037,575","$811,724,385"
2008/06/27,WALL-E,"$180,000,000","$223,808,164","$532,508,025"
2007/08/10,Rush Hour 3,"$180,000,000","$140,125,968","$256,585,882"
2016/06/27,The Legend of Tarzan,"$180,000,000","$126,643,061","$348,902,025"
2011/11/23,Hugo,"$180,000,000","$73,864,507","$180,047,784"
2017/07/20,Valerian and the City of a Thousand Planets,"$180,000,000","$40,479,370","$215,098,356"
2015/02/06,Jupiter Ascending,"$179,000,000","$47,482,519","$181,982,519"
2018/07/16,Mission: ImpossibleâFallout,"$178,000,000","$220,159,104","$787,176,729"
2016/05/18,X-Men: Apocalypse,"$178,000,000","$155,442,489","$542,537,546"
2018/08/09,The Meg,"$178,000,000","$145,443,742","$527,370,715"
2014/05/28,Edge of Tomorrow,"$178,000,000","$100,206,256","$367,028,980"
2019/03/06,Captain Marvel,"$175,000,000","$426,829,839","$1,129,727,388"
2016/04/07,The Jungle Book,"$175,000,000","$364,001,123","$953,554,418"
2015/06/12,Inside Out,"$175,000,000","$356,461,711","$852,830,107"
2017/07/05,Spider-Man: Homecoming,"$175,000,000","$334,201,140","$878,346,440"
2016/08/02,Suicide Squad,"$175,000,000","$325,100,054","$745,744,980"
2009/05/28,Up,"$175,000,000","$293,004,164","$731,463,377"
2017/10/27,Coco,"$175,000,000","$210,460,015","$797,666,425"
2018/11/21,Ralph Breaks The Internet,"$175,000,000","$201,091,711","$529,290,830"
2009/03/27,Monsters vs. Aliens,"$175,000,000","$198,351,526","$381,687,380"
2017/06/16,Cars 3,"$175,000,000","$152,901,115","$383,541,369"
2009/08/07,G.I. Joe: The Rise of Cobra,"$175,000,000","$150,201,498","$302,469,017"
1999/06/30,Wild Wild West,"$175,000,000","$113,805,681","$221,229,335"
2008/08/01,The Mummy: Tomb of the Dragon Emperor,"$175,000,000","$102,491,776","$405,760,225"
2007/06/22,Evan Almighty,"$175,000,000","$100,289,690","$174,131,329"
1995/07/28,Waterworld,"$175,000,000","$88,246,220","$264,246,220"
2020/01/08,Dolittle,"$175,000,000","$77,047,065","$251,410,631"
2017/05/11,King Arthur: Legend of the Sword,"$175,000,000","$39,175,066","$139,630,336"
2013/12/06,47 Ronin,"$175,000,000","$38,362,475","$151,716,815"
2022/03/10,Turning Red,"$175,000,000",$0,"$11,100,000"
2018/06/06,Jurassic World: Fallen Kingdom,"$170,000,000","$417,719,760","$1,308,334,005"
2014/07/31,Guardians of the Galaxy,"$170,000,000","$333,714,112","$770,882,395"
2010/05/07,Iron Man 2,"$170,000,000","$312,433,331","$621,156,389"
2014/03/28,Captain America: The Winter Soldier,"$170,000,000","$259,746,958","$714,401,889"
2014/07/09,Dawn of the Planet of the Apes,"$170,000,000","$208,545,589","$710,644,566"
2004/11/10,The Polar Express,"$170,000,000","$188,578,855","$312,719,437"
2012/05/30,Snow White and the Huntsman,"$170,000,000","$155,136,755","$401,021,746"
2003/07/01,Terminator 3: Rise of the Machines,"$170,000,000","$150,358,296","$433,058,296"
2004/05/05,Van Helsing,"$170,000,000","$120,150,546","$300,150,546"
2019/03/27,Dumbo,"$170,000,000","$114,766,307","$353,166,307"
2019/05/29,Godzilla: King of the Monsters,"$170,000,000","$110,500,138","$383,299,915"
2015/05/20,Tomorrowland,"$170,000,000","$93,436,322","$206,627,518"
2019/02/01,Alita: Battle Angel,"$170,000,000","$85,838,210","$401,900,040"
2016/05/20,Alice Through the Looking Glass,"$170,000,000","$77,042,381","$276,928,112"
2010/05/21,Shrek Forever After,"$165,000,000","$238,736,787","$756,244,673"
2016/10/24,Doctor Strange,"$165,000,000","$232,641,920","$676,354,481"
2014/10/25,Big Hero 6,"$165,000,000","$222,527,828","$649,657,407"
2010/03/26,How to Train Your Dragon,"$165,000,000","$217,581,232","$494,870,992"
2012/11/01,Wreck-It Ralph,"$165,000,000","$189,412,677","$496,511,521"
2014/11/05,Interstellar,"$165,000,000","$188,017,894","$651,994,868"
2021/09/15,Dune,"$165,000,000","$108,327,830","$399,568,375"
2016/06/22,Independence Day: Resurgence,"$165,000,000","$103,144,286","$384,169,424"
2011/07/29,Cowboys and Aliens,"$163,000,000","$100,368,560","$176,038,324"
2017/03/16,Beauty and the Beast,"$160,000,000","$504,014,165","$1,273,109,220"
2019/06/27,Spider-Man: Far From Home,"$160,000,000","$390,532,085","$1,132,532,832"
2018/12/06,Aquaman,"$160,000,000","$335,061,807","$1,143,758,700"
2007/05/17,Shrek the Third,"$160,000,000","$322,719,944","$807,330,936"
2010/07/16,Inception,"$160,000,000","$292,576,195","$728,582,465"
2015/11/18,The Hunger Games: Mockingjay - Part 2,"$160,000,000","$281,723,902","$648,986,787"
2013/05/17,Fast and Furious 6,"$160,000,000","$238,679,850","$789,300,444"
2014/05/14,Godzilla,"$160,000,000","$200,676,069","$529,076,069"
2011/06/03,X-Men: First Class,"$160,000,000","$146,408,305","$355,408,305"
2008/12/25,The Curious Case of Benjamin Button,"$160,000,000","$127,509,326","$329,631,958"
2010/07/14,The Sorcerer's Apprentice,"$160,000,000","$63,150,991","$217,986,320"
2006/05/12,Poseidon,"$160,000,000","$60,674,817","$181,674,817"
2016/05/25,Warcraft,"$160,000,000","$47,365,290","$438,899,824"
2019/11/01,The Irishman,"$159,000,000",$0,"$910,234"
2016/09/29,Deepwater Horizon,"$156,000,000","$61,433,527","$122,603,824"
2010/12/10,The Chronicles of Narnia: The Voyage of the Daw…,"$155,000,000","$104,386,950","$418,186,950"
2021/03/25,Godzilla vs. Kong,"$155,000,000","$100,916,094","$468,064,628"
2015/06/24,Terminator: Genisys,"$155,000,000","$89,760,956","$432,150,894"
2018/03/16,Pacific Rim: Uprising,"$155,000,000","$59,874,525","$290,930,148"
2004/11/24,Alexander,"$155,000,000","$34,297,191","$167,297,191"
2017/07/14,War for the Planet of the Apes,"$152,000,000","$146,880,162","$489,592,267"
2001/05/25,Pearl Harbor,"$151,500,000","$198,539,855","$449,239,853"
2007/07/02,Transformers,"$151,000,000","$319,246,193","$708,272,592"
2019/11/20,Frozen II,"$150,000,000","$477,373,578","$1,445,182,280"
2017/05/29,Wonder Woman,"$150,000,000","$412,563,408","$818,058,221"
2013/11/22,Frozen,"$150,000,000","$400,953,009","$1,265,596,785"
2016/02/10,Zootopia,"$150,000,000","$341,268,248","$1,004,629,935"
2007/07/11,Harry Potter and the Order of the Phoenix,"$150,000,000","$292,137,260","$939,619,849"
2005/11/18,Harry Potter and the Goblet of Fire,"$150,000,000","$290,201,752","$886,746,240"
2003/05/15,The Matrix Reloaded,"$150,000,000","$281,553,689","$738,576,929"
2007/12/14,I am Legend,"$150,000,000","$256,393,010","$585,532,684"
2016/01/27,Moana,"$150,000,000","$248,757,044","$634,965,560"
2008/07/01,Hancock,"$150,000,000","$227,946,274","$624,234,272"
2021/09/01,Shang-Chi and the Legend of the Ten Rings,"$150,000,000","$224,543,292","$432,243,292"
2005/07/15,Charlie and the Chocolate Factory,"$150,000,000","$206,459,076","$475,825,484"
2007/06/29,Ratatouille,"$150,000,000","$206,445,654","$626,549,695"
2013/10/30,Thor: The Dark World,"$150,000,000","$206,362,140","$644,602,516"
2005/06/15,Batman Begins,"$150,000,000","$205,343,774","$358,858,124"
2015/07/29,Mission: ImpossibleâRogue Nation,"$150,000,000","$195,042,377","$688,858,992"
2017/07/18,Dunkirk,"$150,000,000","$190,068,280","$518,058,826"
2011/04/29,Thor,"$150,000,000","$181,030,624","$449,326,618"
2008/11/07,Madagascar: Escape 2 Africa,"$150,000,000","$180,174,880","$599,680,774"
2009/05/01,X-Men Origins: Wolverine,"$150,000,000","$179,883,157","$374,825,760"
2009/05/22,Night at the Museum: Battle of the Smithsonian,"$150,000,000","$177,243,721","$402,231,063"
2011/05/26,Kung Fu Panda 2,"$150,000,000","$165,249,063","$664,837,547"
2015/05/14,Mad Max: Fury Road,"$150,000,000","$153,636,354","$367,457,874"
2019/05/03,PokÃ©mon: Detective Pikachu,"$150,000,000","$144,105,346","$431,344,168"
2003/11/05,The Matrix Revolutions,"$150,000,000","$139,270,910","$427,300,260"
2018/03/20,Ready Player One,"$150,000,000","$137,690,172","$579,055,653"
2005/11/04,Chicken Little,"$150,000,000","$135,386,665","$310,043,823"
2006/05/05,Mission: Impossible III,"$150,000,000","$133,501,348","$399,387,745"
2009/05/15,Angels & Demons,"$150,000,000","$133,375,846","$490,875,846"
2004/05/13,Troy,"$150,000,000","$133,298,577","$483,152,040"
2010/07/01,The Last Airbender,"$150,000,000","$131,772,187","$319,713,881"
2007/11/02,Bee Movie,"$150,000,000","$126,631,277","$287,594,577"
2009/07/24,G-Force,"$150,000,000","$119,436,770","$292,817,841"
2008/11/21,Bolt,"$150,000,000","$114,053,579","$328,015,029"
2021/11/24,Encanto,"$150,000,000","$96,093,622","$230,322,226"
2012/03/28,Wrath of the Titans,"$150,000,000","$83,670,083","$305,270,083"
2007/11/16,Beowulf,"$150,000,000","$82,280,579","$195,080,579"
2012/05/09,Dark Shadows,"$150,000,000","$79,727,149","$238,202,668"
2013/06/28,White House Down,"$150,000,000","$73,103,784","$205,440,387"
2021/07/14,Space Jam: A New Legacy,"$150,000,000","$70,592,228","$144,003,749"
2010/02/12,The Wolfman,"$150,000,000","$62,189,884","$142,634,358"
2016/12/15,The Great Wall,"$150,000,000","$45,157,105","$334,486,852"
2015/09/25,Pan,"$150,000,000","$35,088,320","$151,525,973"
2011/03/11,Mars Needs Moms,"$150,000,000","$21,392,758","$39,549,758"
2022/02/03,Moonfall,"$150,000,000","$19,060,660","$55,899,017"
2021/11/04,Red Notice,"$150,000,000",$0,"$173,638"
2019/12/13,6 Underground,"$150,000,000",$0,$0
2006/11/03,Flushed Away,"$149,000,000","$64,665,672","$179,357,126"
2012/06/08,Madagascar 3: Europe's Most Wanted,"$145,000,000","$216,391,482","$746,921,271"
2011/12/14,Mission: ImpossibleâGhost Protocol,"$145,000,000","$209,397,903","$694,713,230"
2014/06/05,How to Train Your Dragon 2,"$145,000,000","$177,002,924","$614,586,270"
1999/06/16,Tarzan,"$145,000,000","$171,091,819","$448,191,819"
2014/02/20,Mr. Peabody & Sherman,"$145,000,000","$111,506,430","$269,806,430"
2012/11/20,Rise of the Guardians,"$145,000,000","$103,412,758","$306,900,902"
2005/04/08,Sahara,"$145,000,000","$68,671,925","$121,645,390"
2016/07/13,Ghostbusters,"$144,000,000","$128,350,574","$229,008,658"
2002/11/22,Die Another Day,"$142,000,000","$160,942,139","$431,942,139"
2003/07/09,Pirates of the Caribbean: The Curse of the Blac…,"$140,000,000","$305,410,819","$654,310,819"
2009/05/08,Star Trek,"$140,000,000","$257,730,019","$386,839,614"
1998/07/01,Armageddon,"$140,000,000","$201,578,182","$554,600,000"
2002/07/03,Men in Black 2,"$140,000,000","$190,418,803","$441,767,803"
2011/07/22,Captain America: The First Avenger,"$140,000,000","$176,654,505","$370,569,776"
2016/01/23,Kung Fu Panda 3,"$140,000,000","$143,528,619","$521,170,825"
1998/07/10,Lethal Weapon 4,"$140,000,000","$130,444,603","$285,400,000"
2013/03/27,G.I. Joe: Retaliation,"$140,000,000","$122,523,060","$375,740,705"
2003/12/05,The Last Samurai,"$140,000,000","$111,110,575","$456,810,575"
2005/12/21,Fun With Dick And Jane,"$140,000,000","$110,550,000","$203,018,919"
2014/12/05,Exodus: Gods and Kings,"$140,000,000","$65,014,513","$268,314,513"
2016/06/30,The BFG,"$140,000,000","$55,483,770","$199,646,680"
2019/10/03,Gemini Man,"$140,000,000","$48,546,770","$166,623,705"
2016/02/24,Gods of Egypt,"$140,000,000","$31,153,464","$138,836,756"
2022/05/27,Top Gun: Maverick,"$140,000,000",$0,$0
Unknown,Desert Warrior,"$140,000,000",$0,$0
2002/05/03,Spider-Man,"$139,000,000","$403,706,375","$821,706,375"
2009/03/06,Watchmen,"$138,000,000","$107,509,799","$186,976,250"
2005/07/29,Stealth,"$138,000,000","$32,116,746","$76,416,746"
2008/06/13,The Incredible Hulk,"$137,500,000","$134,806,913","$265,573,859"
2003/06/20,Hulk,"$137,000,000","$132,177,234","$245,031,679"
2001/07/11,Final Fantasy: The Spirits Within,"$137,000,000","$32,131,830","$85,131,830"
2012/11/14,"The Twilight Saga: Breaking Dawn, Part 2","$136,200,000","$292,324,737","$829,724,737"
2013/03/15,The Croods,"$135,000,000","$187,168,425","$573,068,425"
2015/12/25,The Revenant,"$135,000,000","$183,637,894","$532,938,302"
1999/11/19,The World is Not Enough,"$135,000,000","$126,930,660","$361,730,660"
2011/03/04,Rango,"$135,000,000","$123,477,607","$245,724,600"
2003/11/14,Master and Commander: The Far Side of the World,"$135,000,000","$93,926,386","$212,912,137"
2013/07/17,Turbo,"$135,000,000","$83,028,130","$286,896,578"
2016/06/02,Teenage Mutant Ninja Turtles: Out of the Shadows,"$135,000,000","$82,051,601","$245,328,374"
2011/11/18,Happy Feet Two,"$135,000,000","$64,006,466","$157,956,466"
2006/07/28,Miami Vice,"$135,000,000","$63,478,838","$164,920,076"
2018/10/31,The Nutcracker and the Four Realms,"$132,900,000","$54,858,851","$170,024,300"
2005/06/24,War of the Worlds,"$132,000,000","$234,280,354","$606,836,535"
2014/11/26,Penguins of Madagascar,"$132,000,000","$83,350,911","$366,942,531"
2013/11/15,The Hunger Games: Catching Fire,"$130,000,000","$424,668,047","$864,868,047"
2004/05/31,Harry Potter and the Prisoner of Azkaban,"$130,000,000","$249,757,726","$789,592,708"
2007/08/03,The Bourne Ultimatum,"$130,000,000","$227,471,070","$444,043,396"
2018/07/03,Ant-Man and the Wasp,"$130,000,000","$216,648,740","$623,144,660"
2008/06/06,Kung Fu Panda,"$130,000,000","$215,434,591","$631,910,531"
2015/07/14,Ant-Man,"$130,000,000","$180,202,163","$518,858,449"
2015/03/19,Home,"$130,000,000","$177,397,510","$385,997,896"
2018/12/19,Mary Poppins Returns,"$130,000,000","$171,958,438","$348,901,032"
2011/10/28,Puss in Boots,"$130,000,000","$149,260,504","$554,987,477"
2010/11/05,Megamind,"$130,000,000","$148,415,853","$321,887,208"
2003/07/18,Bad Boys II,"$130,000,000","$138,540,870","$273,271,982"
2014/03/20,Rio 2,"$130,000,000","$131,538,435","$492,846,291"
2010/07/23,Salt,"$130,000,000","$118,311,368","$290,650,494"
2014/03/27,Noah,"$130,000,000","$101,200,044","$352,831,065"
2011/10/28,The Adventures of Tintin,"$130,000,000","$77,591,831","$373,993,951"
2013/05/31,After Earth,"$130,000,000","$60,522,097","$251,499,665"
2008/11/26,Australia,"$130,000,000","$49,554,002","$215,080,810"
2013/07/19,R.I.P.D.,"$130,000,000","$33,618,855","$79,076,678"
2019/01/03,How to Train Your Dragon: The Hidden World,"$129,000,000","$160,799,505","$522,747,474"
2011/11/18,"The Twilight Saga: Breaking Dawn, Part 1","$127,500,000","$281,287,133","$689,420,051"
2000/05/19,Dinosaur,"$127,500,000","$137,748,063","$356,148,063"
2017/02/23,Logan,"$127,000,000","$226,277,068","$614,202,315"
2014/12/18,Night at the Museum: Secret of the Tomb,"$127,000,000","$113,746,621","$353,756,621"
2011/07/13,Harry Potter and the Deathly Hallows: Part II,"$125,000,000","$381,193,157","$1,328,766,590"
2014/11/19,The Hunger Games: Mockingjay - Part 1,"$125,000,000","$337,135,885","$766,575,131"
2001/11/15,Harry Potter and the Sorcererâs Stone,"$125,000,000","$317,871,467","$965,054,122"
2019/12/04,Jumanji: The Next Level,"$125,000,000","$316,831,246","$798,332,900"
2010/11/17,Harry Potter and the Deathly Hallows: Part I,"$125,000,000","$296,131,568","$952,601,389"
2006/05/19,The Da Vinci Code,"$125,000,000","$217,536,138","$767,820,459"
2003/04/30,X-Men 2,"$125,000,000","$214,949,694","$406,348,630"
2011/04/21,Fast Five,"$125,000,000","$210,031,325","$630,163,454"
2014/08/08,Teenage Mutant Ninja Turtles,"$125,000,000","$191,204,754","$485,004,754"
2011/12/16,Sherlock Holmes: A Game of Shadows,"$125,000,000","$186,848,418","$535,663,443"
2004/05/27,The Day After Tomorrow,"$125,000,000","$186,740,799","$555,840,117"
2017/03/17,The Boss Baby,"$125,000,000","$175,003,033","$527,965,936"
2010/04/01,Clash of the Titans,"$125,000,000","$163,214,888","$493,214,888"
2016/10/12,Trolls,"$125,000,000","$153,707,064","$343,242,613"
1998/05/19,Godzilla,"$125,000,000","$136,314,294","$376,000,000"
2012/05/30,Prometheus,"$125,000,000","$126,477,084","$402,448,265"
2012/08/10,The Bourne Legacy,"$125,000,000","$113,203,870","$280,355,920"
1997/06/20,Batman & Robin,"$125,000,000","$107,325,195","$238,317,814"
2018/07/05,Skyscraper,"$125,000,000","$68,420,120","$304,868,961"
2020/01/03,The Call of the Wild,"$125,000,000","$62,342,368","$107,360,936"
2012/08/03,Total Recall,"$125,000,000","$58,877,969","$211,856,088"
2016/12/21,Assassinâs Creed,"$125,000,000","$54,647,948","$240,759,682"
2016/12/29,Monster Trucks,"$125,000,000","$33,370,166","$61,642,798"
1999/08/27,The 13th Warrior,"$125,000,000","$32,698,899","$61,698,899"
2000/11/17,How the Grinch Stole Christmas,"$123,000,000","$260,348,825","$345,445,403"
2000/05/24,Mission: Impossible 2,"$120,000,000","$215,409,889","$549,588,516"
2000/06/30,The Perfect Storm,"$120,000,000","$182,618,434","$328,711,434"
2016/07/20,Jason Bourne,"$120,000,000","$162,192,920","$416,168,316"
2022/02/10,Uncharted,"$120,000,000","$146,050,125","$392,812,872"
2007/06/15,Fantastic Four: Rise of the Silver Surfer,"$120,000,000","$131,921,738","$289,480,691"
2012/11/21,Life of Pi,"$120,000,000","$124,987,022","$619,310,368"
2007/02/16,Ghost Rider,"$120,000,000","$115,802,596","$229,545,589"
2018/04/09,Rampage,"$120,000,000","$101,028,233","$427,947,217"
2003/06/27,Charlie's Angels: Full Throttle,"$120,000,000","$100,814,328","$227,163,273"
2013/08/09,Elysium,"$120,000,000","$93,050,117","$286,192,091"
2013/04/19,Oblivion,"$120,000,000","$89,107,235","$287,916,633"
2017/03/24,Power Rangers,"$120,000,000","$85,364,450","$142,531,552"
2002/07/19,Stuart Little 2,"$120,000,000","$64,956,806","$166,000,000"
2014/02/12,RoboCop,"$120,000,000","$58,607,007","$242,981,799"
2004/06/11,The Chronicles of Riddick,"$120,000,000","$57,712,751","$107,212,751"
2015/08/05,The Fantastic Four,"$120,000,000","$56,117,548","$167,849,187"
2008/05/09,Speed Racer,"$120,000,000","$43,945,766","$93,394,462"
2005/07/22,The Island,"$120,000,000","$35,818,913","$163,018,913"
2010/12/17,How Do You Know?,"$120,000,000","$30,212,620","$49,628,177"
2018/11/09,Outlaw King,"$120,000,000",$0,$0
2010/06/23,Knight and Day,"$117,000,000","$76,423,035","$258,751,370"
2021/01/25,Tang Ren Jie Tan An 3,"$117,000,000",$0,"$699,084,069"
2018/10/02,Venom,"$116,000,000","$213,511,408","$856,081,053"
